Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,prop_cbd
525000,2016-01-13,2,4,2,0.4504065040650406,1,-33.21772,151.55237,0.9576499388004897,1452643200.0,6,0.4313317610532286
480000,2016-01-13,2,4,2,0.3479674796747967,1,-33.32678,151.44557,0.7746634026927786,1452643200.0,6,0.26955767183130824
452000,2016-01-13,1,3,1,0.2471544715447154,1,-34.05375,150.83957,0.4873929008567931,1452643200.0,4,0.12046133484590656
550000,2016-01-15,1,3,1,0.4764227642276423,1,-33.47252,151.40208,0.5722154222766218,1452816000.0,4,0.2726164532147158
535000,2016-01-15,1,3,1,0.4195121951219512,1,-33.49914,151.39045,0.533782129742962,1452816000.0,4,0.22392811296534015
495000,2016-01-15,1,3,2,0.440650406504065,1,-34.05375,150.83957,0.4873929008567931,1452816000.0,4,0.21476987988974133
410000,2016-01-15,1,3,3,0.3682926829268292,1,-33.25799,151.54324,0.9034271725826192,1452816000.0,4,0.3327256172194524
6500000,2016-01-16,1,3,2,0.5707317073170731,1,-33.44017,151.31715,0.5859241126070992,1452902400.0,4,0.3344054691464907
890000,2016-01-18,2,4,3,0.5487804878048781,1,-33.97301,151.00632,0.2694002447980416,1453075200.0,6,0.14784159775502284
533000,2016-01-18,3,4,2,0.532520325203252,1,-33.75572,150.80361,0.480171358629131,1453075200.0,7,0.2557010080504722
1120500,2016-01-19,2,4,2,0.7024390243902439,1,-33.77572,151.01474,0.2485924112607098,1453161600.0,6,0.17462101083679127
675000,2016-01-19,3,3,2,0.18130081300813,1,-33.90028,150.99309,0.2463892288861688,1453161600.0,6,0.04467056751350863
500000,2016-01-19,1,3,1,0.6105691056910569,1,-33.47252,151.40208,0.5722154222766218,1453161600.0,4,0.3493770586420675
473000,2016-01-19,1,3,3,0.4398373983739837,1,-34.05375,150.83957,0.4873929008567931,1453161600.0,4,0.21437362549880085
625000,2016-01-20,2,4,2,0.4186991869918699,1,-33.32678,151.44557,0.7746634026927786,1453248000.0,6,0.3243509368998219
520000,2016-01-20,1,3,1,0.4967479674796748,1,-34.05375,150.83957,0.4873929008567931,1453248000.0,4,0.24211143286463463
510000,2016-01-20,1,3,1,0.7747967479674797,1,-33.67971,150.61119,0.7203182374541004,1453248000.0,4,0.5581002278811038
610000,2016-01-21,3,5,8,0.6682926829268293,1,-33.32678,151.44557,0.7746634026927786,1453334400.0,8,0.5177018837507837
570000,2016-01-21,1,3,2,0.640650406504065,1,-33.67971,150.61119,0.7203182374541004,1453334400.0,4,0.46147217163726106
555000,2016-01-21,2,4,0,0.5756097560975609,1,-33.49914,151.39045,0.533782129742962,1453334400.0,6,0.30725020151058297
1250000,2016-01-22,1,3,4,0.6991869918699187,1,-33.77572,151.01474,0.2485924112607098,1453420800.0,4,0.17381258023106538
540000,2016-01-22,1,3,2,0.4739837398373984,1,-33.47252,151.40208,0.5722154222766218,1453420800.0,4,0.2712208058433094
395000,2016-01-22,1,1,0,0.4894308943089431,1,-33.47252,151.40208,0.5722154222766218,1453420800.0,2,0.2800599058622165
2300000,2016-01-25,3,5,2,0.4195121951219512,1,-33.85608,151.10677,0.1138310893512851,1453680000.0,8,0.047753530166880574
940000,2016-01-25,2,4,2,0.4227642276422764,1,-33.73411,150.91377,0.3762545899632802,1453680000.0,6,0.15906698112268755
695000,2016-01-25,1,3,2,0.4146341463414634,1,-33.84214,150.89843,0.3505507955936352,1453680000.0,4,0.14535032988028776
930000,2016-01-26,1,4,5,0.4609756097560976,1,-33.97301,151.00632,0.2694002447980416,1453766400.0,5,0.12418694211421917
2300000,2016-01-27,5,5,6,0.9032520325203252,1,-34.06337,151.12578,0.2817625458996328,1453852800.0,10,0.2545025922719447
670000,2016-01-27,2,4,2,0.4195121951219512,1,-33.45608,151.43598,0.608078335373317,1453852800.0,6,0.25509627727856227
557000,2016-01-27,2,3,2,0.4195121951219512,1,-33.49914,151.39045,0.533782129742962,1453852800.0,5,0.22392811296534015
558000,2016-01-28,2,4,3,0.5943089430894309,1,-33.32678,151.44557,0.7746634026927786,1453939200.0,6,0.46038938810440744
550000,2016-01-28,1,3,1,0.4699186991869918,1,-33.47252,151.40208,0.5722154222766218,1453939200.0,4,0.26889472689096533
2015000,2016-01-29,2,4,2,0.4398373983739837,1,-33.85608,151.10677,0.1138310893512851,1454025600.0,6,0.05006717019434572
2000000,2016-01-29,4,5,5,0.5113821138211382,1,-34.03624,151.1585,0.2357405140758873,1454025600.0,9,0.12055348240140903
936000,2016-01-29,1,3,1,0.5447154471544715,1,-33.77572,151.01474,0.2485924112607098,1454025600.0,4,0.13541212645908582
1500000,2016-01-30,4,5,3,0.7699186991869919,1,-33.77572,151.01474,0.2485924112607098,1454112000.0,9,0.19139594590560338
712000,2016-01-30,1,3,3,0.583739837398374,1,-33.90028,150.99309,0.2463892288861688,1454112000.0,4,0.14382720840672292
646000,2016-01-30,1,1,2,0.4560975609756098,1,-33.45608,151.43598,0.608078335373317,1454112000.0,2,0.27734304564587875
1180000,2016-01-31,3,4,2,0.5528455284552846,1,-33.77572,151.01474,0.2485924112607098,1454198400.0,7,0.13743320297340053
1930000,2016-02-13,3,4,4,0.3788617886178861,1,-33.88062,151.1169,0.1036719706242349,1455321600.0,7,0.03927734822023858
1670000,2016-02-13,2,4,2,0.6178861788617886,1,-33.70172,151.27318,0.2294981640146878,1455321600.0,6,0.1418037436188315
1600000,2016-02-13,1,4,0,0.1113821138211382,1,-33.88143,151.15595,0.0613219094247246,1455321600.0,5,0.006830163895274202
850000,2016-02-13,3,4,4,0.532520325203252,1,-33.32678,151.44557,0.7746634026927786,1455321600.0,7,0.4125240071250162
828000,2016-02-13,2,3,1,0.4252032520325203,1,-33.84214,150.89843,0.3505507955936352,1455321600.0,5,0.14905533828900097
580000,2016-02-13,1,3,1,0.4560975609756098,1,-33.39553,151.33681,0.6499388004895961,1455321600.0,4,0.29643550168671823
930000,2016-02-15,2,4,3,0.8455284552845529,1,-33.88495,150.95058,0.2911872705018359,1455494400.0,6,0.24620712302594255
900000,2016-02-15,2,4,6,0.5382113821138211,1,-33.52256,151.37418,0.4974296205630354,1455494400.0,6,0.26772228358758493
710000,2016-02-15,1,3,2,0.4861788617886179,1,-33.90028,150.99309,0.2463892288861688,1455494400.0,4,0.1197892348568528
553000,2016-02-15,1,3,1,0.5943089430894309,1,-33.49914,151.39045,0.533782129742962,1455494400.0,4,0.31723149336756523
1180000,2016-02-16,2,4,2,0.5650406504065041,1,-33.77572,151.01474,0.2485924112607098,1455580800.0,6,0.14046481774487263
1030000,2016-02-16,1,3,4,0.4959349593495935,1,-33.62899,151.32686,0.3433292533659731,1455580800.0,4,0.17026897931158014
905000,2016-02-16,2,4,1,0.1934959349593495,1,-33.95493,150.99524,0.2681762545899632,1455580800.0,6,0.051891015115781466
750000,2016-02-16,2,4,2,0.2032520325203252,1,-33.90028,150.99309,0.2463892288861688,1455580800.0,6,0.050079111562229425
1325000,2016-02-17,2,5,2,0.5682926829268292,1,-33.77572,151.01474,0.2485924112607098,1455667200.0,7,0.14127324835059848
1130000,2016-02-17,1,3,0,0.7382113821138211,1,-33.82647,151.03151,0.2051407588739289,1455667200.0,4,0.15143724313620116
1100000,2016-02-17,1,3,4,0.7601626016260162,1,-33.97301,151.00632,0.2694002447980416,1455667200.0,4,0.20478799096436495
1039000,2016-02-17,3,5,2,0.4300813008130081,1,-33.89877,150.96071,0.2821297429620563,1455667200.0,8,0.12133872685116079
977000,2016-02-17,1,2,0,0.1056910569105691,1,-33.89452,151.1556,0.0696450428396572,1455667200.0,3,0.007360858186305231
2300000,2016-02-18,2,4,0,0.0764227642276422,1,-33.87941,151.19845,0.0195838433292533,1455753600.0,6,0.0014966514414226084
1500000,2016-02-18,2,4,0,0.1113821138211382,1,-33.88143,151.15595,0.0613219094247246,1455753600.0,6,0.006830163895274202
1400000,2016-02-19,2,3,3,0.2878048780487804,1,-33.88062,151.1169,0.1036719706242349,1455840000.0,5,0.029837298862584672
1265000,2016-02-19,1,3,0,0.1463414634146341,1,-33.88143,151.15595,0.0613219094247246,1455840000.0,4,0.008973937964593842
510000,2016-02-19,2,5,2,0.8105691056910569,1,-33.39553,151.33681,0.6499388004895961,1455840000.0,7,0.5268203122667702
1720000,2016-02-20,1,4,2,0.383739837398374,1,-33.85608,151.10677,0.1138310893512851,1455926400.0,5,0.04368152371854192
1340000,2016-02-20,1,2,2,0.189430894308943,1,-33.87838,151.10412,0.1175030599755201,1455926400.0,3,0.02225870973520014
1300000,2016-02-20,3,4,2,0.5333333333333333,1,-33.62899,151.32686,0.3433292533659731,1455926400.0,7,0.18310893512851897
1180000,2016-02-20,2,3,3,0.2398373983739837,1,-33.93108,151.21145,0.0859241126070991,1455926400.0,5,0.020607815625279864
1110000,2016-02-20,1,3,1,0.4715447154471545,1,-33.97301,151.00632,0.2694002447980416,1455926400.0,4,0.12703426177468627
875000,2016-02-20,2,3,1,0.4195121951219512,1,-33.95493,150.99524,0.2681762545899632,1455926400.0,5,0.1125032092426187
865000,2016-02-20,1,3,2,0.4195121951219512,1,-33.95493,150.99524,0.2681762545899632,1455926400.0,4,0.1125032092426187
520000,2016-02-23,1,3,1,0.456910569105691,1,-33.47252,151.40208,0.5722154222766218,1456185600.0,4,0.2614512742434646
495000,2016-02-23,1,3,1,0.4764227642276423,1,-33.36629,151.4607,0.7310893512851897,1456185600.0,4,0.3483076096366839
870000,2016-02-24,3,4,4,0.7439024390243902,1,-33.52256,151.37418,0.4974296205630354,1456272000.0,7,0.37003910797981904
730000,2016-02-24,2,4,2,0.4747967479674796,1,-33.47252,151.40208,0.5722154222766218,1456272000.0,6,0.27168602163377814
715000,2016-02-24,3,5,2,0.5626016260162602,1,-33.49914,151.39045,0.533782129742962,1456272000.0,8,0.30030669413181277
453000,2016-02-24,2,3,1,0.2357723577235772,1,-33.36629,151.4607,0.7310893512851897,1456272000.0,5,0.17237066005910973
2100000,2016-02-25,1,4,1,0.3065040650406504,1,-33.85205,151.15424,0.0618115055079559,1456358400.0,5,0.018945477704471036
1985000,2016-02-25,1,3,0,0.0585365853658536,1,-33.85966,151.20425,0.0061199510403916,1456358400.0,4,0.00035824103651072747
1780000,2016-02-25,1,3,0,0.0577235772357723,1,-33.85966,151.20425,0.0061199510403916,1456358400.0,4,0.00035326546655918957
1415000,2016-02-25,1,2,0,0.1886178861788618,1,-33.85841,151.14202,0.0738066095471236,1456358400.0,3,0.013921246678807056
1250000,2016-02-25,2,3,6,0.8,1,-33.70172,151.27318,0.2294981640146878,1456358400.0,5,0.18359853121175027
545000,2016-02-25,1,4,1,0.4560975609756098,1,-33.39553,151.33681,0.6499388004895961,1456358400.0,5,0.29643550168671823
1440000,2016-02-26,3,5,3,0.5016260162601626,1,-33.62899,151.32686,0.3433292533659731,1456444800.0,8,0.17222288563154908
1230000,2016-02-26,2,3,2,0.183739837398374,1,-33.9466,151.18371,0.1107711138310893,1456444800.0,5,0.020353066443761125
915000,2016-02-26,2,5,2,0.4707317073170731,1,-33.86202,150.88392,0.3656058751529987,1456444800.0,7,0.17210227781592374
619000,2016-02-26,2,2,1,0.1065040650406504,1,-33.95493,150.99524,0.2681762545899632,1456444800.0,4,0.02856186126120746
450000,2016-02-26,1,3,4,0.4455284552845528,1,-33.32678,151.44557,0.7746634026927786,1456444800.0,4,0.34513458916718914
1800000,2016-02-27,2,3,1,0.2504065040650406,1,-33.88143,151.15595,0.0613219094247246,1456531200.0,5,0.015355404961638352
1550000,2016-02-27,1,3,2,0.748780487804878,1,-33.69054,151.15407,0.2417380660954712,1456531200.0,4,0.18100874705197476
1465000,2016-02-27,2,4,1,0.6609756097560976,1,-33.75342,151.06372,0.2209302325581395,1456531200.0,6,0.1460294951786727
1280000,2016-02-27,1,2,1,0.2138211382113821,1,-33.86584,151.14375,0.0712362301101591,1456531200.0,3,0.015231811804042148
1160000,2016-02-27,1,3,0,0.1186991869918699,1,-33.88143,151.15595,0.0613219094247246,1456531200.0,4,0.007278860793503894
1085000,2016-02-27,1,2,1,0.1373983739837398,1,-33.88143,151.15595,0.0613219094247246,1456531200.0,3,0.008425530644535328
1000000,2016-02-27,2,6,3,0.6357723577235772,1,-33.8105,151.06162,0.1799265605875152,1456531200.0,8,0.1143923336418186
925000,2016-02-27,1,2,0,0.0804878048780487,1,-33.88143,151.15595,0.0613219094247246,1456531200.0,3,0.004935665880526609
820000,2016-02-27,1,3,2,0.4455284552845528,1,-33.97042,151.03352,0.241860465116279,1456531200.0,4,0.10775571941765925
761000,2016-02-27,2,3,1,0.4154471544715447,1,-33.97042,151.03352,0.241860465116279,1456531200.0,5,0.10048024201172241
3100000,2016-02-29,3,4,5,0.8926829268292683,1,-33.62899,151.32686,0.3433292533659731,1456704000.0,7,0.3064841627608443
1650000,2016-02-29,1,2,1,0.3991869918699187,1,-33.85608,151.10677,0.1138310893512851,1456704000.0,3,0.04543989013941543
1543000,2016-02-29,1,3,1,0.3016260162601626,1,-33.85841,151.14202,0.0738066095471236,1456704000.0,4,0.02226199361136818
1255000,2016-02-29,2,4,8,0.6764227642276422,1,-33.50518,151.33518,0.5052631578947369,1456704000.0,6,0.34177150192554556
1100000,2016-02-29,1,2,1,0.0585365853658536,1,-33.9082,151.19191,0.0582619339045287,1456704000.0,3,0.0034104546675821643
500000,2016-02-29,1,3,0,0.5333333333333333,1,-33.36629,151.4607,0.7310893512851897,1456704000.0,4,0.3899143206854345
478000,2016-03-13,2,4,2,0.4195121951219512,1,-33.36629,151.4607,0.7310893512851897,1457827200.0,6,0.30670089858793326
700000,2016-03-14,2,3,1,0.7642276422764228,1,-33.49756,151.40816,0.5436964504283965,1457913600.0,5,0.41550785642495347
540000,2016-03-14,2,3,3,0.3918699186991869,1,-33.32678,151.44557,0.7746634026927786,1457913600.0,5,0.30356728463245464
950000,2016-03-16,1,3,2,0.4455284552845528,1,-34.00258,151.0648,0.2449204406364748,1458086400.0,4,0.10911902558438064
785000,2016-03-16,1,3,2,0.3585365853658536,1,-33.82647,151.03151,0.2051407588739289,1458086400.0,4,0.0735504672060184
660000,2016-03-16,3,2,2,0.7130081300813008,1,-33.49756,151.40816,0.5436964504283965,1458086400.0,5,0.3876599894517917
487000,2016-03-16,1,3,1,0.3682926829268292,1,-33.39553,151.33681,0.6499388004895961,1458086400.0,4,0.2393677045705585
1620000,2016-03-17,1,3,1,0.1300813008130081,1,-33.85093,151.18309,0.032313341493268,1458172800.0,4,0.004203361495059251
1105000,2016-03-17,1,3,0,0.173170731707317,1,-33.9466,151.18371,0.1107711138310893,1458172800.0,4,0.019182314834164237
790000,2016-03-17,1,4,2,0.4195121951219512,1,-33.90028,150.99309,0.2463892288861688,1458172800.0,5,0.10336328626444154
450000,2016-03-17,1,3,1,0.4869918699186992,1,-33.39553,151.33681,0.6499388004895961,1458172800.0,4,0.3165149117831448
2890000,2016-03-18,2,5,3,0.7016260162601626,1,-33.8112,151.2183,0.0701346389228886,1458259200.0,7,0.04920828730931127
1960000,2016-03-18,3,5,2,0.6455284552845528,1,-33.75738,151.18183,0.1460220318237454,1458259200.0,8,0.09426137664069419
1800000,2016-03-18,2,3,2,0.0853658536585365,1,-33.9082,151.19191,0.0582619339045287,1458259200.0,5,0.004973579723557322
732000,2016-03-18,2,3,1,0.4170731707317073,1,-33.84214,150.89843,0.3505507955936352,1458259200.0,5,0.14620533182076004
2418000,2016-03-19,2,3,0,0.1341463414634146,1,-33.89296,151.2503,0.0556915544675642,1458345600.0,5,0.007470818282234219
2113000,2016-03-19,2,4,4,0.6585365853658537,1,-33.76365,151.12999,0.1611995104039167,1458345600.0,6,0.1061557751440427
2055000,2016-03-19,3,5,2,0.551219512195122,1,-33.62899,151.32686,0.3433292533659731,1458345600.0,8,0.18924978356270714
2050000,2016-03-19,2,3,2,0.5097560975609756,1,-33.99151,151.24014,0.1712362301101591,1458345600.0,5,0.08728871242200793
1930000,2016-03-19,2,3,2,0.2674796747967479,1,-33.85841,151.14202,0.0738066095471236,1458345600.0,5,0.01974176791951517
1740000,2016-03-19,2,4,2,0.3479674796747967,1,-33.88062,151.1169,0.1036719706242349,1458345600.0,6,0.03607447433103458
1500000,2016-03-19,1,2,2,0.2390243902439024,1,-33.85841,151.14202,0.0738066095471236,1458345600.0,3,0.017641579842971006
1435500,2016-03-19,1,3,3,0.3479674796747967,1,-33.93108,151.21145,0.0859241126070991,1458345600.0,4,0.0298987969071857
1390000,2016-03-19,1,3,1,0.5373983739837398,1,-33.88062,151.1169,0.1036719706242349,1458345600.0,4,0.055713148441153874
1219000,2016-03-19,2,3,1,0.1715447154471544,1,-33.9466,151.18371,0.1107711138310893,1458345600.0,5,0.019002199201918563
629000,2016-03-19,2,3,2,0.216260162601626,1,-33.50518,151.33518,0.5052631578947369,1458345600.0,5,0.10926829268292683
1365000,2016-03-20,1,3,2,0.1943089430894309,1,-33.89452,151.1556,0.0696450428396572,1458432000.0,4,0.013532654665591927
2650000,2016-03-21,2,4,2,0.5154471544715448,1,-33.8268,151.10602,0.124969400244798,1458518400.0,6,0.0644151217521967
1850000,2016-03-21,4,4,2,0.7235772357723578,1,-33.69054,151.15407,0.2417380660954712,1458518400.0,8,0.17491616164631657
1150000,2016-03-21,3,4,2,0.3934959349593496,1,-33.8105,151.06162,0.1799265605875152,1458518400.0,7,0.07080037018240436
925000,2016-03-21,3,5,2,0.2520325203252032,1,-33.97301,151.00632,0.2694002447980416,1458518400.0,8,0.06789762267267713
739950,2016-03-21,2,4,2,0.5365853658536586,1,-34.05177,150.74372,0.5813953488372093,1458518400.0,6,0.3119682359614294
1045000,2016-03-22,2,4,3,0.3918699186991869,1,-33.97042,151.03352,0.241860465116279,1458604800.0,6,0.09477784080166379
