Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,value_score
525000,2016-01-13,2,4,2,0.4504065040650406,1,24752,-33.21772,151.55237,0.9576499388004897,1452643200.0,6,0.1728632083525103
480000,2016-01-13,2,4,2,0.3479674796747967,1,31668,-33.32678,151.44557,0.7746634026927786,1452643200.0,6,0.16036390252520988
452000,2016-01-13,1,3,1,0.2471544715447154,1,32292,-34.05375,150.83957,0.4873929008567931,1452643200.0,4,0.15180861735428727
550000,2016-01-15,1,3,1,0.4764227642276423,1,29432,-33.47252,151.40208,0.5722154222766218,1452816000.0,4,0.26883295401485147
535000,2016-01-15,1,3,1,0.4195121951219512,1,36764,-33.49914,151.39045,0.533782129742962,1452816000.0,4,0.24599481693839292
495000,2016-01-15,1,3,2,0.440650406504065,1,32292,-34.05375,150.83957,0.4873929008567931,1452816000.0,4,0.2706587848882359
410000,2016-01-15,1,3,3,0.3682926829268292,1,25844,-33.25799,151.54324,0.9034271725826192,1452816000.0,4,0.14922433586985154
6500000,2016-01-16,1,3,2,0.5707317073170731,1,31772,-33.44017,151.31715,0.5859241126070992,1452902400.0,4,0.3176642864145921
890000,2016-01-18,2,4,3,0.5487804878048781,1,40560,-33.97301,151.00632,0.2694002447980416,1453075200.0,6,0.4191791007530359
533000,2016-01-18,3,4,2,0.532520325203252,1,24180,-33.75572,150.80361,0.480171358629131,1453075200.0,7,0.32945827267966876
1120500,2016-01-19,2,4,2,0.7024390243902439,1,40092,-33.77572,151.01474,0.2485924112607098,1453161600.0,6,0.547830640039458
675000,2016-01-19,3,3,2,0.18130081300813,1,24388,-33.90028,150.99309,0.2463892288861688,1453161600.0,6,0.1417079675180472
500000,2016-01-19,1,3,1,0.6105691056910569,1,29432,-33.47252,151.40208,0.5722154222766218,1453161600.0,4,0.3445282397016271
473000,2016-01-19,1,3,3,0.4398373983739837,1,32292,-34.05375,150.83957,0.4873929008567931,1453161600.0,4,0.2701594144364126
625000,2016-01-20,2,4,2,0.4186991869918699,1,31668,-33.32678,151.44557,0.7746634026927786,1453248000.0,6,0.19296123785159602
520000,2016-01-20,1,3,1,0.4967479674796748,1,32292,-34.05375,150.83957,0.4873929008567931,1453248000.0,4,0.30511534606404456
510000,2016-01-20,1,3,1,0.7747967479674797,1,38740,-33.67971,150.61119,0.7203182374541004,1453248000.0,4,0.37701406589404046
610000,2016-01-21,3,5,8,0.6682926829268293,1,31668,-33.32678,151.44557,0.7746634026927786,1453334400.0,8,0.307988616532062
570000,2016-01-21,1,3,2,0.640650406504065,1,38740,-33.67971,150.61119,0.7203182374541004,1453334400.0,4,0.31173880789559694
555000,2016-01-21,2,4,0,0.5756097560975609,1,36764,-33.49914,151.39045,0.533782129742962,1453334400.0,6,0.33752777207826007
1250000,2016-01-22,1,3,4,0.6991869918699187,1,40092,-33.77572,151.01474,0.2485924112607098,1453420800.0,4,0.5452943870763124
540000,2016-01-22,1,3,2,0.4739837398373984,1,29432,-33.47252,151.40208,0.5722154222766218,1453420800.0,4,0.2674566760932738
395000,2016-01-22,1,1,0,0.4894308943089431,1,29432,-33.47252,151.40208,0.5722154222766218,1453420800.0,2,0.27617310292993275
2300000,2016-01-25,3,5,2,0.4195121951219512,1,39052,-33.85608,151.10677,0.1138310893512851,1453680000.0,8,0.3743763244947594
940000,2016-01-25,2,4,2,0.4227642276422764,1,47060,-33.73411,150.91377,0.3762545899632802,1453680000.0,6,0.29019701437326995
695000,2016-01-25,1,3,2,0.4146341463414634,1,25688,-33.84214,150.89843,0.3505507955936352,1453680000.0,4,0.29202685310852794
930000,2016-01-26,1,4,5,0.4609756097560976,1,40560,-33.97301,151.00632,0.2694002447980416,1453766400.0,5,0.35211044463255015
2300000,2016-01-27,5,5,6,0.9032520325203252,1,46800,-34.06337,151.12578,0.2817625458996328,1453852800.0,10,0.6814610351377589
670000,2016-01-27,2,4,2,0.4195121951219512,1,45084,-33.45608,151.43598,0.608078335373317,1453852800.0,6,0.22838076563390974
557000,2016-01-27,2,3,2,0.4195121951219512,1,36764,-33.49914,151.39045,0.533782129742962,1453852800.0,5,0.24599481693839292
558000,2016-01-28,2,4,3,0.5943089430894309,1,31668,-33.32678,151.44557,0.7746634026927786,1453939200.0,6,0.27389255314469263
550000,2016-01-28,1,3,1,0.4699186991869918,1,29432,-33.47252,151.40208,0.5722154222766218,1453939200.0,4,0.2651628795573108
2015000,2016-01-29,2,4,2,0.4398373983739837,1,39052,-33.85608,151.10677,0.1138310893512851,1454025600.0,6,0.39251471230942797
2000000,2016-01-29,4,5,5,0.5113821138211382,1,59592,-34.03624,151.1585,0.2357405140758873,1454025600.0,9,0.40398452518912814
936000,2016-01-29,1,3,1,0.5447154471544715,1,40092,-33.77572,151.01474,0.2485924112607098,1454025600.0,4,0.4248223713268945
1500000,2016-01-30,4,5,3,0.7699186991869919,1,40092,-33.77572,151.01474,0.2485924112607098,1454112000.0,9,0.6004578890247301
712000,2016-01-30,1,3,3,0.583739837398374,1,24388,-33.90028,150.99309,0.2463892288861688,1454112000.0,4,0.45626152770384726
646000,2016-01-30,1,1,2,0.4560975609756098,1,45084,-33.45608,151.43598,0.608078335373317,1454112000.0,2,0.24829769286942516
1180000,2016-01-31,3,4,2,0.5528455284552846,1,40092,-33.77572,151.01474,0.2485924112607098,1454198400.0,7,0.43116300373475863
1930000,2016-02-13,3,4,4,0.3788617886178861,1,34996,-33.88062,151.1169,0.1036719706242349,1455321600.0,7,0.3415518487943965
1670000,2016-02-13,2,4,2,0.6178861788617886,1,44460,-33.70172,151.27318,0.2294981640146878,1455321600.0,6,0.4911777604648619
1600000,2016-02-13,1,4,0,0.1113821138211382,1,56784,-33.88143,151.15595,0.0613219094247246,1455321600.0,5,0.1047571534349575
850000,2016-02-13,3,4,4,0.532520325203252,1,31668,-33.32678,151.44557,0.7746634026927786,1455321600.0,7,0.24541671998601045
828000,2016-02-13,2,3,1,0.4252032520325203,1,25688,-33.84214,150.89843,0.3505507955936352,1455321600.0,5,0.29947067485443163
580000,2016-02-13,1,3,1,0.4560975609756098,1,34632,-33.39553,151.33681,0.6499388004895961,1455321600.0,4,0.23811837778054262
930000,2016-02-15,2,4,3,0.8455284552845529,1,20592,-33.88495,150.95058,0.2911872705018359,1455494400.0,6,0.6319274240881736
900000,2016-02-15,2,4,6,0.5382113821138211,1,40716,-33.52256,151.37418,0.4974296205630354,1455494400.0,6,0.3272818630036663
710000,2016-02-15,1,3,2,0.4861788617886179,1,24388,-33.90028,150.99309,0.2463892288861688,1455494400.0,4,0.3800061191739563
553000,2016-02-15,1,3,1,0.5943089430894309,1,36764,-33.49914,151.39045,0.533782129742962,1455494400.0,4,0.34849265732939005
1180000,2016-02-16,2,4,2,0.5650406504065041,1,40092,-33.77572,151.01474,0.2485924112607098,1455580800.0,6,0.4406739523465548
1030000,2016-02-16,1,3,4,0.4959349593495935,1,43628,-33.62899,151.32686,0.3433292533659731,1455580800.0,4,0.3518185410921375
