Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,prop_cbd
1125000,2019-09-14,4,5,2,0.3861788617886179,1,50440,-33.77976,150.86393,0.405140758873929,1568419200.0,9,0.1564567971261107
1800000,2020-08-25,1,3,1,0.2495934959349593,1,41652,-33.87968,151.1391,0.0789473684210526,1598313600.0,4,0.0197047496790757
6210000,2021-11-12,3,4,2,0.583739837398374,1,39728,-33.99813,151.14125,0.1929008567931456,1636675200.0,7,0.1126039147784378
1980000,2020-12-16,1,3,2,0.6203252032520326,1,45292,-34.05003,151.10248,0.2752753977968176,1608076800.0,4,0.1707602670885949
3430000,2021-10-20,3,5,1,0.6715447154471544,1,51636,-33.72878,151.12144,0.2068543451652386,1634688000.0,8,0.1389119423629976
1005500,2016-09-21,2,4,2,0.532520325203252,1,36244,-33.94109,150.98349,0.2725826193390452,1474416000.0,6,0.1451557850951826
900000,2020-03-21,1,3,1,0.4764227642276423,1,23504,-33.88004,150.99733,0.2379436964504283,1584748800.0,4,0.113361793593456
1405000,2021-10-19,2,4,2,0.3934959349593496,1,30316,-33.38486,151.47128,0.7127294981640148,1634601600.0,6,0.280456160253157
1850000,2021-11-06,2,4,2,0.3292682926829268,1,36244,-33.47576,151.3525,0.5492044063647491,1636156800.0,6,0.1808355972176612
1050000,2021-12-14,2,3,2,0.4227642276422764,1,39104,-34.02019,150.81645,0.4887392900856793,1639440000.0,5,0.2066214884915067
835000,2020-10-21,2,4,2,0.2317073170731707,1,42744,-33.70583,150.8735,0.4347613219094247,1603238400.0,6,0.1007373794668178
1650000,2019-12-20,2,3,2,0.8,1,48464,-33.72491,151.16978,0.1920440636474908,1576800000.0,5,0.1536352509179926
650000,2019-11-22,1,3,1,0.4552845528455284,1,43160,-34.0577,150.71508,0.6141982864137087,1574380800.0,4,0.2796349921883551
650000,2017-02-25,2,3,2,0.624390243902439,1,37544,-33.69209,150.57478,0.7537331701346389,1487980800.0,5,0.4706236379377257
2172000,2021-02-20,2,4,3,0.9235772357723576,1,30368,-33.78849,151.08514,0.1718482252141982,1613779200.0,6,0.1587151088157147
550000,2020-10-19,1,3,2,0.5260162601626016,1,29380,-33.40534,151.3625,0.6441860465116279,1603065600.0,4,0.3388523350349782
1300000,2020-05-30,1,2,0,0.1829268292682926,1,60424,-33.87982,151.16973,0.0460220318237454,1590796800.0,3,0.0084186643580022
2525000,2020-11-17,2,4,2,0.4097560975609756,1,42172,-33.91857,151.20485,0.0690330477356181,1605571200.0,6,0.0282867122428874
810000,2019-06-27,2,4,2,0.4365853658536585,1,36244,-33.94155,150.87334,0.3911872705018359,1561593600.0,6,0.170786637609338
3200000,2021-11-26,2,5,3,0.4398373983739837,1,39312,-33.48638,151.43476,0.5703794369645043,1637884800.0,7,0.2508742076404852
4870000,2018-03-21,3,6,4,0.7804878048780488,1,55224,-33.79114,151.2431,0.1035495716034271,1521590400.0,9,0.0808191778368211
720000,2019-04-15,1,3,1,0.5276422764227642,1,24284,-33.90422,151.02148,0.216156670746634,1555286400.0,4,0.1140533978167198
1380000,2019-07-13,3,4,1,0.424390243902439,1,36816,-33.98679,151.11717,0.1920440636474908,1562976000.0,7,0.0815016270113741
1850000,2017-11-23,2,5,2,0.9089430894308944,1,44772,-33.7525,151.10676,0.1888616891064871,1511395200.0,7,0.1716645271715874
2350000,2021-07-14,2,5,2,0.6585365853658537,1,38688,-33.72338,151.09579,0.2282741738066095,1626220800.0,7,0.150326894945816
1500000,2021-11-11,1,4,1,0.5333333333333333,1,28288,-33.35917,151.48543,0.7511627906976744,1636588800.0,5,0.4006201550387597
2610000,2021-10-15,3,4,4,0.7235772357723578,1,38792,-33.69724,151.10055,0.255813953488372,1634256000.0,7,0.1851011533371147
680000,2019-02-22,2,3,1,0.708130081300813,1,30628,-34.06338,150.80766,0.524969400244798,1550793600.0,5,0.3717466240757878
1170000,2021-06-26,2,3,2,0.2065040650406504,1,40924,-33.72933,150.99777,0.2993880048959608,1624665600.0,5,0.061824840035426
965000,2020-09-30,2,4,2,0.5487804878048781,1,45916,-33.79317,150.68049,0.6040391676866586,1601424000.0,6,0.331484909096337
1110000,2021-11-06,2,3,2,0.8463414634146341,1,26936,-33.50408,151.35585,0.5137086903304774,1636156800.0,5,0.4347729647431113
1875000,2021-10-13,1,2,1,0.0959349593495935,1,46228,-33.88889,151.18298,0.0407588739290085,1634083200.0,3,0.0039102009135146
1400000,2021-11-20,2,5,5,0.5430894308943089,1,24908,-33.88245,151.02748,0.2042839657282741,1637366400.0,7,0.1109444626882008
672700,2018-04-23,1,3,1,0.2878048780487804,1,32032,-33.82166,150.97206,0.2722154222766217,1524441600.0,4,0.0783449264113203
2775000,2021-12-21,2,3,1,0.1626016260162601,1,70304,-33.82557,151.20362,0.0505507955936352,1640044800.0,5,0.0082196415599406
930000,2019-09-21,1,3,0,0.1365853658536585,1,32656,-33.97075,151.1214,0.1712362301101591,1569024000.0,4,0.0233883631369973
3000000,2021-11-30,3,3,3,0.5845528455284553,1,46852,-33.65717,151.31571,0.3030599755201958,1638230400.0,6,0.1771545710561144
1535000,2021-10-09,1,3,10,0.5691056910569106,1,44564,-33.96919,151.01822,0.2552019583843329,1633737600.0,4,0.1452368868853927
1870000,2020-09-29,2,5,1,0.440650406504065,1,40404,-33.7702,151.24964,0.1329253365973072,1601337600.0,7,0.058573603606293
655000,2018-02-14,2,3,1,0.4195121951219512,1,30108,-33.36629,151.4607,0.7310893512851897,1518566400.0,5,0.3067008985879332
520000,2016-11-18,1,3,1,0.4861788617886179,1,33384,-33.37876,151.34724,0.6747858017135863,1479427200.0,4,0.3280665930282314
3150000,2020-09-30,5,7,2,0.491869918699187,1,30576,-33.93971,151.09956,0.1571603427172582,1601424000.0,12,0.0773024449950741
810000,2018-08-25,1,3,4,0.4609756097560976,1,23140,-33.85861,150.98884,0.2468788249694002,1535155200.0,4,0.1138051168761381
1660000,2021-11-09,2,3,1,0.1390243902439024,1,32448,-33.77752,151.10509,0.1643818849449204,1636416000.0,5,0.0228530913216108
1525000,2021-10-07,2,3,2,0.6048780487804878,1,38688,-33.72338,151.09579,0.2282741738066095,1633564800.0,5,0.1380780368391199
810000,2020-10-02,2,3,2,0.3479674796747967,1,24960,-33.43968,151.37541,0.6037943696450428,1601596800.0,5,0.2101008050472181
1275000,2021-11-02,2,4,2,0.5845528455284553,1,47268,-34.05591,151.08069,0.2937576499388005,1635811200.0,6,0.1717168701674777
590000,2020-11-12,1,3,1,0.4308943089430894,1,40716,-33.70698,150.70828,0.6041615667074663,1605139200.0,4,0.2603297807763879
1150000,2021-11-25,2,4,1,0.5439024390243903,1,36556,-33.45559,151.27311,0.5569155446756425,1637798400.0,6,0.3029077230796788
785000,2019-10-23,2,4,2,0.3333333333333333,1,30056,-33.98157,150.8294,0.455079559363525,1571788800.0,6,0.1516931864545083
2800000,2021-11-17,3,5,2,0.8617886178861789,1,49868,-34.01049,151.054,0.2610771113831089,1637107200.0,8,0.2249932829805654
490000,2017-09-15,1,3,1,0.1,1,33124,-34.0051,150.8581,0.437454100367197,1505433600.0,4,0.0437454100367197
1840000,2021-10-22,2,4,2,0.7455284552845528,1,40092,-33.77572,151.01474,0.2485924112607098,1634860800.0,6,0.1853327163626592
1200000,2021-06-21,2,4,2,0.4227642276422764,1,28340,-33.43758,151.38853,0.6112607099143207,1624233600.0,6,0.2584191619149973
1785000,2021-12-18,2,3,2,0.4813008130081301,1,31616,-33.94767,151.01233,0.2465116279069767,1639785600.0,5,0.1186462469275855
1470000,2021-06-28,1,3,4,0.6471544715447154,1,22204,-33.91825,151.07547,0.1647490820073439,1624838400.0,4,0.1066181051039396
1580000,2020-09-26,1,3,1,0.6829268292682927,1,48672,-33.76365,151.12999,0.1611995104039167,1601078400.0,4,0.110087470519748
2150000,2020-02-29,3,5,3,0.9390243902439024,1,53300,-33.74511,151.1397,0.1777233782129743,1582934400.0,8,0.1668865868585246
3050000,2021-02-20,2,4,1,0.3219512195121951,1,72072,-33.82233,151.19286,0.0575275397796817,1613779200.0,6,0.0185210615876048
530000,2017-08-25,1,3,1,0.1138211382113821,1,33124,-34.0051,150.8581,0.437454100367197,1503619200.0,4,0.0497915236190305
1500000,2021-06-26,1,2,2,0.5333333333333333,1,41288,-33.74634,150.98287,0.3,1624665600.0,3,0.16
670000,2017-04-25,1,3,2,0.5382113821138211,1,36764,-33.73724,150.83862,0.4515299877600979,1493078400.0,4,0.243018578778199
1020000,2021-10-27,1,3,1,0.4146341463414634,1,43420,-33.7437,150.9059,0.3783353733170134,1635292800.0,4,0.1568707645460787
1910000,2017-07-22,2,5,2,0.2398373983739837,1,40248,-33.94543,151.24625,0.1128518971848225,1500681600.0,7,0.0270661054223761
467500,2019-07-22,1,3,0,0.4560975609756098,1,36556,-33.45559,151.27311,0.5569155446756425,1563753600.0,4,0.2540078215959638
560000,2016-09-28,1,3,1,0.3422764227642276,1,37960,-33.74778,150.8557,0.4282741738066095,1475020800.0,4,0.1465881521728313
5000000,2020-08-22,3,5,6,0.7845528455284553,1,47528,-33.98937,151.10096,0.2052631578947368,1598054400.0,8,0.1610397946084723
1800000,2020-06-16,2,4,2,0.4813008130081301,1,36712,-33.79673,151.1332,0.123500611995104,1592265600.0,6,0.0594409449602451
3825000,2021-07-31,2,4,2,0.491869918699187,1,53612,-33.76971,151.28907,0.1539779681762546,1627689600.0,6,0.0757371306883203
1100000,2021-10-11,2,4,2,0.4227642276422764,1,38896,-33.79794,150.78794,0.4829865361077111,1633910400.0,6,0.2041894298991949
620000,2018-08-29,1,4,3,0.6869918699186992,1,33696,-33.63042,150.79928,0.5605875152998776,1535500800.0,5,0.3851190653889403
800000,2018-05-18,2,4,2,0.5227642276422764,1,43680,-34.06403,150.76318,0.5692778457772338,1526601600.0,6,0.2975980933615946
2501000,2021-11-13,4,4,2,0.5056910569105691,1,39312,-33.8078,151.11399,0.1299877600979192,1636761600.0,8,0.0657336477893542
1020000,2021-10-18,2,5,3,0.8154471544715447,1,24024,-33.86384,150.98472,0.2514075887392901,1634515200.0,7,0.2050096028500064
711000,2019-05-14,2,4,2,0.3447154471544715,1,36244,-33.94155,150.87334,0.3911872705018359,1557792000.0,6,0.1348482948721775
1550000,2020-10-16,2,4,2,0.4349593495934959,1,34008,-33.75,151.27239,0.1679314565483476,1602806400.0,6,0.0730433571165577
1175000,2018-12-10,1,3,1,0.3585365853658536,1,37336,-33.99452,151.13524,0.1911872705018359,1544400000.0,4,0.068547631131146
4500000,2021-02-19,3,3,2,0.2317073170731707,1,76024,-33.84252,151.22795,0.0331701346389228,1613692800.0,6,0.0076857629041406
1320000,2021-03-31,2,4,4,0.6138211382113821,1,38272,-34.03262,151.10521,0.2527539779681762,1617148800.0,6,0.1551457344438805
1300000,2017-03-25,2,4,2,0.532520325203252,1,36660,-33.79508,151.02527,0.2260709914320685,1490400000.0,6,0.1203873978764267
2600000,2021-11-10,1,3,1,0.1626016260162601,1,60424,-33.87982,151.16973,0.0460220318237454,1636502400.0,4,0.007483257207113
1412000,2021-03-26,2,4,2,0.532520325203252,1,33696,-33.77523,151.0454,0.219094247246022,1616716800.0,6,0.1166721397936133
2600000,2017-06-16,3,5,3,0.532520325203252,1,55120,-34.06694,151.1244,0.2869033047735618,1497571200.0,8,0.1527818411599048
1660000,2021-03-19,1,2,1,0.5178861788617887,1,37232,-33.97235,151.14822,0.1577723378212974,1616112000.0,3,0.0817081131643629
1260000,2021-10-12,2,4,2,0.4504065040650406,1,41704,-33.7743,150.75296,0.5286413708690331,1633996800.0,6,0.2381035117572718
2600000,2021-08-31,2,2,1,0.1666666666666666,1,48620,-33.78215,151.26601,0.125703794369645,1630368000.0,4,0.0209506323949408
1340000,2018-10-17,2,2,2,0.2853658536585365,1,42172,-34.05314,151.1205,0.2708690330477356,1539734400.0,4,0.0772967728453294
1610000,2019-04-26,3,5,2,0.6991869918699187,1,45500,-33.74763,151.03335,0.2522643818849449,1556236800.0,8,0.176379974326059
1050000,2017-04-24,2,4,1,0.6097560975609756,1,42848,-33.60156,151.136,0.3638922888616891,1492992000.0,6,0.2218855419888348
3300000,2021-10-23,3,5,4,0.7056910569105691,1,25844,-33.50285,151.29727,0.4980416156670747,1634947200.0,8,0.3514635141455454
1000000,2021-12-13,2,4,2,0.7073170731707317,1,33852,-33.79734,150.84976,0.4145654834761322,1639353600.0,6,0.2932292444099471
625000,2017-11-21,1,2,1,0.4455284552845528,1,31200,-33.76065,150.93136,0.3423500611995104,1511222400.0,3,0.1525266939327899
1590000,2019-11-12,2,4,2,0.440650406504065,1,45292,-34.05003,151.10248,0.2752753977968176,1573516800.0,6,0.1213002159397358
1120000,2019-09-16,3,5,3,0.7130081300813008,1,33176,-33.77213,150.845,0.4286413708690331,1568592000.0,8,0.3056247823188146
2000000,2021-08-26,1,3,2,0.4715447154471545,1,42380,-34.03534,151.12423,0.2468788249694002,1629936000.0,4,0.1164144052701236
545000,2019-10-29,1,2,2,0.3276422764227642,1,25844,-33.50285,151.29727,0.4980416156670747,1572307200.0,3,0.1631794887104318
1202000,2020-11-28,1,3,1,0.3016260162601626,1,33280,-33.89006,151.09611,0.1294981640146879,1606521600.0,4,0.0390600153247554
2011000,2021-06-26,2,3,2,0.4764227642276423,1,58084,-33.81806,151.16504,0.0779681762545899,1624665600.0,5,0.0371458140529997
1520000,2021-09-18,2,5,2,0.3333333333333333,1,34320,-33.80641,150.96973,0.2799265605875153,1631923200.0,7,0.0933088535291717
2598000,2021-10-16,2,3,2,0.5585365853658537,1,44876,-33.75137,151.22303,0.1515299877600979,1634342400.0,5,0.0846350419440546
1200000,2017-06-27,3,4,4,0.932520325203252,1,41704,-33.72773,150.63789,0.6709914320685434,1498521600.0,7,0.6257131484411539
2550000,2021-07-20,2,4,0,0.1121951219512195,1,69732,-33.9082,151.19191,0.0582619339045287,1626739200.0,6,0.0065367047795324
1200000,2019-12-11,3,5,2,0.5121951219512195,1,36868,-33.45183,151.31618,0.5702570379436964,1576022400.0,8,0.2920828730931128
420000,2019-11-06,1,3,1,0.4349593495934959,1,33852,-33.34073,151.42855,0.7503059975520197,1572998400.0,4,0.3263526086913256
1600000,2021-10-14,1,2,0,0.0707317073170731,1,58968,-33.91594,151.17672,0.0749082007343941,1634169600.0,3,0.0052983849299937
775000,2018-06-23,2,4,1,0.4195121951219512,1,30368,-33.95198,150.89671,0.3698898408812729,1529712000.0,6,0.155173299101412
2840000,2019-11-21,3,5,3,0.5430894308943089,1,49660,-33.73559,151.30351,0.2017135862913096,1574294400.0,8,0.1095485167825974
1901000,2021-02-20,2,3,1,0.5333333333333333,1,37180,-33.97709,151.09318,0.1976744186046511,1613779200.0,5,0.1054263565891472
1074000,2021-04-30,1,2,1,0.1097560975609756,1,34632,-33.913,151.1171,0.119828641370869,1619740800.0,3,0.0131519240529002
3090000,2021-08-17,2,4,4,0.4048780487804878,1,36088,-33.96419,151.25386,0.139657282741738,1629158400.0,6,0.0565441681344597
3161111,2021-09-18,2,5,3,0.5780487804878048,1,39728,-33.72159,151.21169,0.1911872705018359,1631923200.0,7,0.1105155685583783
768000,2021-09-25,1,3,2,0.4252032520325203,1,31980,-33.77655,150.90338,0.3638922888616891,1632528000.0,4,0.1547281846135474
2231050,2021-09-21,2,3,2,0.3373983739837398,1,45552,-33.77616,151.275,0.1378212974296205,1632182400.0,5,0.0465006816530833
1400000,2021-08-28,1,3,1,0.6772357723577236,1,20592,-33.86904,150.95102,0.2895960832313341,1630108800.0,4,0.1961248270989441
1405000,2021-10-27,2,3,2,0.4349593495934959,1,36244,-33.47576,151.3525,0.5492044063647491,1635292800.0,5,0.2388815913862933
1125000,2021-12-15,2,5,3,0.4382113821138211,1,30108,-33.36629,151.4607,0.7310893512851897,1639526400.0,7,0.3203716750753798
1481000,2021-09-24,2,4,2,0.5691056910569106,1,39728,-33.46746,151.42812,0.5903304773561812,1632441600.0,6,0.3359604342677453
1250000,2020-01-14,2,4,2,0.4308943089430894,1,46488,-33.69788,150.94161,0.3758873929008567,1578960000.0,6,0.1619677384044341
1575000,2021-10-12,2,4,1,0.4170731707317073,1,25844,-33.50285,151.29727,0.4980416156670747,1633996800.0,6,0.2077197958026092
1025000,2021-12-15,3,5,2,0.4146341463414634,1,40352,-34.05177,150.74372,0.5813953488372093,1639526400.0,8,0.2410663641520136
1690000,2021-10-28,1,3,2,0.3471544715447154,1,28496,-33.90421,151.08616,0.1461444308445532,1635379200.0,4,0.050734692659044
1800000,2021-09-28,1,2,1,0.1089430894308943,1,60424,-33.87982,151.16973,0.0460220318237454,1632787200.0,3,0.0050137823287657
1480000,2016-08-25,2,2,0,0.0552845528455284,1,75764,-33.86465,151.17428,0.03671970624235,1472083200.0,4,0.0020300325402274
777000,2021-09-25,1,3,2,0.5276422764227642,1,31980,-33.77655,150.90338,0.3638922888616891,1632528000.0,4,0.1920049556676717
1210000,2021-08-14,2,4,2,0.4146341463414634,1,23920,-33.88259,150.90215,0.3456548347613218,1628899200.0,6,0.1433202973400602
2450000,2021-01-19,3,4,1,0.0772357723577235,1,25272,-33.89089,151.19334,0.035985312117503,1611014400.0,7,0.002779353374929
1406000,2021-05-22,1,2,1,0.1357723577235772,1,45552,-33.86665,151.12685,0.0904528763769889,1621641600.0,3,0.012281000288583
4050000,2021-10-28,3,5,4,0.8821138211382114,1,45500,-33.73128,151.28955,0.1992656058751529,1635379200.0,8,0.1757749450199519
715000,2020-08-26,3,4,2,0.2577235772357724,1,51116,-34.02724,150.77608,0.5342717258261934,1598400000.0,7,0.1376944203958563
1303500,2021-11-26,2,5,2,0.4861788617886179,1,40612,-33.80912,150.79558,0.4718482252141983,1637884800.0,7,0.2294026330716183
1720000,2021-11-23,4,5,2,0.3983739837398374,1,56368,-33.72449,150.85843,0.4380660954712363,1637625600.0,9,0.1745141355942323
1220000,2021-05-29,1,3,2,0.7902439024390244,1,30680,-33.80402,150.95535,0.2964504283965728,1622246400.0,4,0.2342681434158282
650000,2019-03-22,2,4,2,0.2845528455284553,1,53196,-34.06839,150.72519,0.6101591187270502,1553212800.0,6,0.1736225134589167
2910000,2021-07-31,3,6,2,0.583739837398374,1,43836,-33.7725,151.22111,0.122766217870257,1627689600.0,9,0.0716635320575971
1022000,2018-04-14,1,2,2,0.4552845528455284,1,27248,-33.86491,151.04789,0.1798041615667074,1523664000.0,3,0.0818620572986635
1725000,2020-08-28,2,4,1,0.5333333333333333,1,43836,-33.7725,151.22111,0.122766217870257,1598572800.0,6,0.0654753161974704
660000,2017-11-15,1,3,2,0.7227642276422764,1,41184,-33.68513,150.55384,0.7793145654834761,1510704000.0,4,0.5632606900120408
1150000,2016-08-27,2,3,2,0.424390243902439,1,31876,-33.96181,151.05799,0.2126070991432068,1472256000.0,5,0.0902283786607755
1630000,2021-11-12,1,4,1,0.6682926829268293,1,41288,-33.74634,150.98287,0.3,1636675200.0,5,0.2004878048780488
3550000,2016-09-28,5,6,2,0.7178861788617886,1,48828,-33.83054,151.14729,0.0813953488372093,1475020800.0,11,0.0584325959538665
2885000,2021-10-27,3,4,1,0.2707317073170732,1,48204,-33.8953,151.14668,0.0788249694002448,1635292800.0,7,0.0213404185449443
2450000,2021-11-27,2,4,1,0.3626016260162601,1,39312,-33.8078,151.11399,0.1299877600979192,1637971200.0,6,0.047133773173717
3050000,2019-11-16,3,4,2,0.7894308943089431,1,37232,-33.97235,151.14822,0.1577723378212974,1573862400.0,7,0.1245503577434795
4920000,2019-11-18,2,5,3,0.9439024390243902,1,57928,-33.84211,151.13803,0.0834761321909424,1574035200.0,7,0.0787933247753529
1755000,2021-06-26,1,3,2,0.5333333333333333,1,40924,-33.72933,150.99777,0.2993880048959608,1624665600.0,4,0.159673602611179
1890000,2021-08-21,2,8,0,0.1682926829268292,1,52884,-33.89452,151.1556,0.0696450428396572,1629504000.0,10,0.0117207511120398
1010000,2021-11-27,2,4,2,0.3097560975609756,1,34944,-33.88752,150.84426,0.4115055079559364,1637971200.0,6,0.1274663402692778
1150000,2021-05-21,3,5,2,0.4300813008130081,1,25376,-33.87884,150.87759,0.3730722154222766,1621555200.0,8,0.1604513837060035
570000,2021-04-30,1,3,1,0.4235772357723577,1,24232,-33.92148,150.91654,0.3372093023255814,1619740800.0,4,0.142834184155795
2250000,2016-10-15,1,3,1,0.156910569105691,1,70512,-33.83489,151.21821,0.0384332925336597,1476489600.0,4,0.006030589804062
1340000,2018-11-23,1,3,0,0.0512195121951219,1,69784,-33.85833,151.18067,0.0307221542227662,1542931200.0,4,0.0015735737528733
1250000,2021-10-12,1,3,4,0.6292682926829268,1,42900,-33.75075,150.93583,0.3435740514075887,1633996800.0,4,0.2162002567394094
2445000,2021-09-29,3,5,3,0.6357723577235772,1,30108,-33.36629,151.4607,0.7310893512851897,1632873600.0,8,0.4648064005731856
2555000,2021-11-20,1,3,3,0.5479674796747968,1,39312,-33.8078,151.11399,0.1299877600979192,1637366400.0,4,0.0712290652894289
2693000,2020-08-15,4,7,4,0.5967479674796748,1,34424,-33.87913,151.08118,0.143329253365973,1597449600.0,11,0.0855314406265237
2030000,2021-10-21,3,4,1,0.3430894308943089,1,37336,-33.99452,151.13524,0.1911872705018359,1634774400.0,7,0.0655943318307111
2100000,2021-10-15,2,3,3,0.4105691056910569,1,44980,-33.75117,151.29037,0.1758873929008567,1634256000.0,5,0.0722139296056362
585000,2018-05-25,1,3,1,0.3373983739837398,1,32344,-33.37857,151.42921,0.7023255813953488,1527206400.0,4,0.2369635091699753
575000,2019-10-07,2,4,2,0.4560975609756098,1,40352,-34.05177,150.74372,0.5813953488372093,1570406400.0,6,0.265173000567215
710000,2018-12-20,2,4,2,0.4373983739837398,1,50076,-33.72309,150.73341,0.5697674418604651,1545264000.0,6,0.2492153526186424
3750000,2021-05-29,2,3,4,0.5121951219512195,1,39572,-34.01864,151.11234,0.2321909424724602,1622246400.0,5,0.1189270680956503
1390000,2018-12-20,2,3,2,0.4349593495934959,1,51636,-34.06716,151.11552,0.2906976744186046,1545264000.0,5,0.1264416713934581
1415000,2019-05-14,1,3,1,0.1422764227642276,1,58916,-33.87113,151.16107,0.0522643818849449,1557792000.0,4,0.0074359892925734
1600000,2019-11-13,3,6,2,0.5121951219512195,1,31512,-33.95213,151.1183,0.1534883720930232,1573603200.0,9,0.0786159954622801
1150000,2021-09-21,2,4,2,0.508130081300813,1,24960,-33.43968,151.37541,0.6037943696450428,1632182400.0,6,0.3068060821367088
1700000,2021-11-15,1,3,4,0.491869918699187,1,32188,-33.79216,151.05607,0.1968176254589963,1636934400.0,4,0.0968086694330835
685000,2020-07-30,2,4,2,0.2926829268292683,1,29952,-33.25323,151.47277,0.8791921664626683,1596067200.0,6,0.257324536525659
