Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,value_score
915000,2018-06-29,2,4,2,0.4869918699186992,1,25792,-33.51595,151.33432,0.4909424724602202,1530230400.0,6,0.2980630246537881
1960000,2021-09-21,1,2,0,0.0910569105691057,1,69784,-33.85833,151.18067,0.0307221542227662,1632182400.0,3,0.0883019814811273
1765000,2017-11-18,1,3,2,0.4260162601626016,1,53404,-33.79242,151.21235,0.0951040391676866,1510963200.0,4,0.387367353161701
644000,2018-03-17,1,3,1,0.4398373983739837,1,33228,-33.76129,150.72784,0.5604651162790698,1521244800.0,4,0.2511222803430276
1985000,2019-09-14,2,6,4,0.4455284552845528,1,45136,-33.99339,151.14479,0.1854345165238677,1568419200.0,8,0.3701197496727508
2920000,2021-07-17,1,2,2,0.3861788617886179,1,44980,-33.75117,151.29037,0.1758873929008567,1626480000.0,3,0.3238930088792773
1875000,2021-10-13,2,4,2,0.532520325203252,1,40092,-33.77572,151.01474,0.2485924112607098,1634083200.0,6,0.4153114227150983
665000,2017-09-22,2,4,2,0.4349593495934959,1,29796,-33.21142,151.50349,0.9445532435740512,1506038400.0,6,0.1691353587916407
1550000,2021-11-30,2,4,2,0.5894308943089431,1,46228,-33.69583,150.95622,0.3645042839657282,1638230400.0,6,0.4093838405957022
1510000,2019-03-30,2,4,2,0.4634146341463415,1,48568,-33.82789,151.12645,0.1035495716034271,1553904000.0,6,0.417829151223077
2570000,2021-12-13,4,6,3,0.5447154471544715,1,43784,-33.74234,150.95464,0.3302325581395349,1639353600.0,10,0.3915178016866729
440000,2016-10-26,1,3,1,0.4195121951219512,1,28288,-33.2261,151.49301,0.9216646266829864,1477440000.0,4,0.1669055309484281
3420000,2021-11-27,3,3,2,0.5121951219512195,1,39572,-34.01864,151.11234,0.2321909424724602,1637971200.0,6,0.4060655937565112
1390000,2020-10-24,2,3,2,0.8447154471544716,1,33644,-33.8105,151.06162,0.1799265605875152,1603497600.0,5,0.7056174683566243
2680000,2021-05-30,3,5,4,0.3691056910569105,1,30576,-33.93971,151.09956,0.1571603427172582,1622332800.0,8,0.3154255520339635
710000,2018-02-27,1,3,1,0.4764227642276423,1,34996,-33.79196,150.9468,0.3105263157894737,1519689600.0,4,0.3492469637266482
852000,2020-08-18,3,5,2,0.3333333333333333,1,51116,-34.02724,150.77608,0.5342717258261934,1597708800.0,8,0.1953653244385019
1255000,2021-10-29,2,3,1,0.5121951219512195,1,28288,-33.35917,151.48543,0.7511627906976744,1635465600.0,5,0.2416626775362022
2000000,2019-11-25,2,4,3,0.5764227642276423,1,45292,-33.7395,151.19204,0.1680538555691554,1574640000.0,6,0.4872549520399672
1650000,2018-11-23,3,4,4,0.5349593495934959,1,34996,-33.96814,151.13537,0.1596083231334149,1542931200.0,7,0.4560408727893669
1925000,2021-10-23,2,2,2,0.1577235772357723,1,46228,-33.88889,151.18298,0.0407588739290085,1634947200.0,4,0.1514241918292122
2600000,2016-11-16,1,4,2,0.5878048780487805,1,58084,-33.81806,151.16504,0.0779681762545899,1479254400.0,5,0.5437159047450918
900000,2018-06-20,1,3,1,0.5585365853658537,1,25792,-33.51595,151.33432,0.4909424724602202,1529452800.0,4,0.3418519164226251
2400000,2021-04-19,2,4,2,0.448780487804878,1,39728,-33.46746,151.42812,0.5903304773561812,1618790400.0,6,0.248689069558667
826000,2020-12-16,2,5,5,0.4772357723577236,1,38896,-33.79794,150.78794,0.4829865361077111,1608076800.0,7,0.2944249448272472
1127500,2018-10-05,2,4,2,0.4300813008130081,1,40768,-33.98105,151.04426,0.241126070991432,1538697600.0,6,0.3379331826530846
610000,2020-01-23,1,3,1,0.4195121951219512,1,32292,-34.05375,150.83957,0.4873929008567931,1579737600.0,4,0.2576751531408298
1460000,2018-11-22,2,4,1,0.7276422764227642,1,48620,-33.70304,151.16514,0.2221542227662178,1542844800.0,6,0.5826900079316698
1080000,2020-08-21,2,5,2,0.4065040650406504,1,46228,-33.69583,150.95622,0.3645042839657282,1597968000.0,7,0.2823336831694498
1410000,2016-11-06,3,5,2,0.532520325203252,1,31876,-33.96181,151.05799,0.2126070991432068,1478390400.0,8,0.430528690870807
3557000,2021-10-15,4,5,2,0.383739837398374,1,43836,-33.70323,151.29673,0.2372093023255813,1634256000.0,9,0.3027040252853458
3050000,2021-08-28,5,6,2,0.4146341463414634,1,47528,-33.9047,151.13884,0.0930232558139534,1630108800.0,11,0.3778031529251798
785000,2019-10-23,2,4,2,0.3333333333333333,1,30056,-33.98157,150.8294,0.455079559363525,1571788800.0,6,0.2114658312265284
1470000,2017-07-21,2,3,2,0.324390243902439,1,43628,-33.62899,151.32686,0.3433292533659731,1500595200.0,5,0.2301239309766604
2382000,2020-10-17,3,5,2,0.4723577235772357,1,59592,-34.03624,151.1585,0.2357405140758873,1602892800.0,8,0.3731558173845523
1295000,2021-12-17,3,5,2,0.4292682926829268,1,42016,-33.7327,150.64899,0.6570379436964504,1639699200.0,8,0.2225260493815278
2350000,2021-03-13,2,4,1,0.2552845528455285,1,41600,-33.92488,151.16476,0.0921664626682986,1615593600.0,6,0.2328075982500101
2020000,2021-12-10,1,2,0,0.0959349593495935,1,69784,-33.85833,151.18067,0.0307221542227662,1639094400.0,3,0.0930324447747592
940000,2016-11-16,2,4,2,0.4552845528455284,1,56368,-33.72449,150.85843,0.4380660954712363,1479254400.0,6,0.2937874418267273
2240000,2021-06-26,4,5,2,0.3097560975609756,1,40040,-33.93591,151.12536,0.1319461444308445,1624665600.0,9,0.2714665863623272
1100000,2020-12-24,1,3,2,0.8813008130081301,1,33176,-33.77213,150.845,0.4286413708690331,1608768000.0,4,0.5740736175953652
