Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,value_score
272500,2016-01-22,1,1,1,0.0666666666666666,-1,31148,-33.33333,151.50775,0.7936352509179927,1453420800.0,2,0.030146530048923415
595000,2016-02-22,1,1,1,0.08130081300813,-1,43628,-33.62899,151.32686,0.3433292533659731,1456099200.0,2,0.05767517067084215
755000,2016-02-29,1,1,1,0.0154471544715447,-1,45604,-33.90769,151.2083,0.0541003671970624,1456704000.0,2,0.014633661287159013
730000,2016-03-24,2,3,1,0.0634146341463414,-1,52884,-33.89452,151.1556,0.0696450428396572,1458777600.0,5,0.05914840439355927
900000,2016-03-30,1,2,1,0.4577235772357723,-1,69732,-33.9082,151.19191,0.0582619339045287,1459296000.0,3,0.43181770708639416
597000,2016-05-14,1,1,1,0.0170731707317073,-1,52884,-33.89452,151.1556,0.0696450428396572,1463184000.0,2,0.015924570413650575
1010000,2016-05-16,1,2,1,0.0333333333333333,-1,57356,-33.89314,151.26703,0.0713586291309669,1463356800.0,3,0.0310375967550482
390000,2016-05-18,1,2,1,0.0390243902439024,-1,23036,-33.9234,151.06765,0.1757649938800489,1463529600.0,3,0.03273424729189533
1430000,2016-05-20,1,2,1,0.040650406504065,-1,88816,-33.86505,151.25332,0.045532435740514,1463702400.0,3,0.038841000410109884
545000,2016-05-21,1,1,1,0.0479674796747967,-1,43524,-33.70949,151.1061,0.238188494492044,1463788800.0,2,0.037800970618325304
649000,2016-06-16,2,2,1,0.0471544715447154,-1,42952,-33.85783,151.08877,0.1339045287637698,1466035200.0,4,0.04124476981582902
377500,2016-06-25,1,2,1,0.0284552845528455,-1,23036,-33.9234,151.06765,0.1757649938800489,1466812800.0,3,0.023868721983673676
498500,2016-07-15,2,2,1,0.0536585365853658,-1,35880,-33.91492,150.95681,0.2906976744186046,1468540800.0,4,0.040122725649988575
695000,2016-07-16,1,1,0,0.0121951219512195,-1,72072,-33.82233,151.19286,0.0575275397796817,1468627200.0,2,0.011513364510190168
640000,2016-07-16,1,0,1,0.0138211382113821,-1,46228,-33.88889,151.18298,0.0407588739290085,1468627200.0,1,0.013269130211838178
315000,2016-07-19,1,2,1,0.0642276422764227,-1,33852,-33.34073,151.42855,0.7503059975520197,1468886400.0,3,0.030329707736377665
749000,2016-07-20,1,1,1,0.0365853658536585,-1,34216,-33.7788,151.12627,0.1471236230110159,1468972800.0,2,0.031580021744336925
500000,2016-07-29,2,2,1,0.048780487804878,-1,35880,-33.91492,150.95681,0.2906976744186046,1469750400.0,4,0.03647520513635325
745000,2016-07-30,2,3,2,0.1048780487804878,-1,32656,-33.97075,151.1214,0.1712362301101591,1469836800.0,5,0.08837260335998133
727000,2016-08-19,1,1,1,0.0219512195121951,-1,75764,-33.86465,151.17428,0.03671970624235,1471564800.0,2,0.021159796513459055
510000,2016-08-19,1,2,1,0.0520325203252032,-1,35880,-33.91492,150.95681,0.2906976744186046,1471564800.0,3,0.038906885478776805
2620000,2016-08-22,2,4,4,0.4349593495934959,-1,34320,-33.80641,150.96973,0.2799265605875153,1471824000.0,6,0.32875934762372455
690000,2016-08-22,1,1,1,0.0365853658536585,-1,65676,-33.84987,151.13772,0.0806609547123623,1471824000.0,2,0.03375023450779906
426000,2016-09-14,1,2,2,0.040650406504065,-1,22204,-33.91825,151.07547,0.1647490820073439,1473811200.0,3,0.034475873275121485
1250000,2016-09-24,1,2,1,0.0308943089430894,-1,65000,-33.79412,151.27428,0.1172582619339045,1474675200.0,3,0.027476022861594427
1172500,2016-09-24,1,2,1,0.0560975609756097,-1,48932,-33.71505,151.29588,0.2221542227662178,1474675200.0,3,0.04492246988523483
8650000,2016-09-27,3,3,2,0.3869918699186991,-1,83096,-33.87237,151.2356,0.0270501835985312,1474934400.0,6,0.37666398413542657
4750000,2016-10-05,3,6,2,0.3780487804878049,-1,26208,-33.91942,151.08774,0.1529987760097919,1475625600.0,9,0.32441529191203433
