Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,value_score
600000,2017-02-14,1,2,1,0.0422764227642276,-1,34996,-33.96814,151.13537,0.1596083231334149,1487030400.0,3,0.0360397042325943
585000,2016-11-16,1,2,1,0.0821138211382113,-1,40040,-33.80918,150.98696,0.2600979192166462,1479254400.0,3,0.0633077926520312
1575000,2021-11-29,2,2,1,0.0626016260162601,-1,57564,-33.8704,151.21848,0.0084455324357405,1638144000.0,4,0.0620751482749669
1200000,2021-12-10,1,1,0,0.0235772357723577,-1,35412,-33.86794,151.20998,0.0001223990208078,1639094400.0,2,0.02357435011839
7880000,2021-12-14,2,2,2,0.1398373983739837,-1,83096,-33.87237,151.2356,0.0270501835985312,1639440000.0,4,0.1361054732590196
715000,2016-12-20,1,2,1,0.0593495934959349,-1,34996,-33.96814,151.13537,0.1596083231334149,1482192000.0,3,0.0505942001726804
2855000,2021-11-26,2,2,1,0.0975609756097561,-1,66560,-33.80338,151.29117,0.1208078335373316,1637884800.0,4,0.0864589504356537
591000,2017-09-15,1,1,1,0.0211382113821138,-1,60424,-33.87982,151.16973,0.0460220318237454,1505433600.0,2,0.0201874341046864
1550000,2021-06-30,1,3,0,0.7138211382113822,-1,76024,-33.84252,151.22795,0.0331701346389228,1625011200.0,4,0.6905319824651772
860000,2017-05-23,1,2,2,0.0691056910569105,-1,46852,-33.65717,151.31571,0.3030599755201958,1495497600.0,3,0.0510383398259149
525000,2017-09-16,2,2,1,0.048780487804878,-1,32240,-33.74515,150.68955,0.6082007343941249,1505520000.0,4,0.0265526527630814
970000,2016-10-12,2,2,1,0.0479674796747967,-1,48620,-33.78215,151.26601,0.125703794369645,1476230400.0,4,0.042301370292604
3450000,2019-07-26,4,4,2,0.1756097560975609,-1,28080,-33.88626,151.19999,0.027172582619339,1564099200.0,8,0.1709022329186124
450000,2018-12-18,1,1,1,0.0097560975609756,-1,38584,-33.8063,151.08417,0.1596083231334149,1545091200.0,2,0.0083168548229063
1010000,2016-05-16,1,2,1,0.0333333333333333,-1,57356,-33.89314,151.26703,0.0713586291309669,1463356800.0,3,0.0310375967550482
1000000,2021-12-20,2,2,0,0.0439024390243902,-1,25272,-33.89089,151.19334,0.035985312117503,1639958400.0,4,0.0423506837024103
1050000,2021-11-26,2,3,2,0.1024390243902439,-1,56524,-33.82839,151.07771,0.1542227662178702,1637884800.0,5,0.087798548740175
1330000,2018-04-21,2,3,2,0.1048780487804878,-1,34736,-33.95297,151.22753,0.1172582619339045,1524268800.0,5,0.0932738670827811
580000,2021-01-20,1,2,2,0.0471544715447154,-1,31616,-33.94767,151.01233,0.2465116279069767,1611100800.0,3,0.0368522698316425
1100000,2021-12-02,2,2,1,0.0682926829268292,-1,24076,-33.88148,151.20456,0.0193390452876376,1638403200.0,4,0.0669846563974654
695000,2019-06-19,1,2,1,0.0544715447154471,-1,34632,-33.913,151.1171,0.119828641370869,1560902400.0,3,0.0483202056024824
300500,2018-03-16,1,2,1,0.0292682926829268,-1,31980,-34.08405,150.81805,0.5299877600979193,1521158400.0,3,0.0172276733909162
760000,2019-08-31,1,2,1,0.0642276422764227,-1,55484,-33.8937,151.16537,0.0599755201958384,1567209600.0,3,0.0604887963074346
386000,2019-07-31,1,2,1,0.0447154471544715,-1,34996,-33.79196,150.9468,0.3105263157894737,1564531200.0,3,0.0327791518856068
479000,2018-12-02,1,2,1,0.0536585365853658,-1,30680,-33.80402,150.95535,0.2964504283965728,1543708800.0,3,0.0398925721234345
2050000,2020-12-18,2,2,1,0.0634146341463414,-1,57564,-33.8704,151.21848,0.0084455324357405,1608249600.0,4,0.0628813190317847
1205000,2021-11-03,2,2,1,0.0934959349593495,-1,67184,-33.81731,151.20149,0.0619339045287637,1635897600.0,4,0.0878810375994633
2750000,2020-09-23,2,3,1,0.1479674796747967,-1,57772,-33.86923,151.19249,0.0167686658506731,1600819200.0,5,0.1455069500069842
2404000,2019-06-17,2,1,1,0.0504065040650406,-1,35412,-33.86794,151.20998,0.0001223990208078,1560729600.0,3,0.0504003347358683
1250000,2021-12-14,2,2,1,0.1040650406504065,-1,39728,-33.72159,151.21169,0.1911872705018359,1639440000.0,4,0.0859554229460561
1000000,2021-04-16,2,2,1,0.1276422764227642,-1,20072,-33.87941,151.19845,0.0195838433292533,1618531200.0,4,0.1251668681975097
347000,2019-07-17,1,2,1,0.0333333333333333,-1,23036,-33.9234,151.06765,0.1757649938800489,1563321600.0,3,0.0279605028951605
1285000,2021-06-29,2,3,2,0.1609756097560975,-1,51896,-33.78256,151.18105,0.1130966952264381,1624924800.0,5,0.1437615703865303
1330000,2018-09-13,2,2,1,0.0723577235772357,-1,57772,-33.86923,151.19249,0.0167686658506731,1536796800.0,4,0.0711544975308878
2500000,2021-10-13,2,2,1,0.0943089430894309,-1,57564,-33.8704,151.21848,0.0084455324357405,1634083200.0,4,0.0935158077908594
620000,2019-07-26,1,2,1,0.0609756097560975,-1,38792,-33.69724,151.10055,0.255813953488372,1564099200.0,3,0.0472125615002245
850000,2021-10-03,2,2,1,0.0577235772357723,-1,35412,-33.88947,151.12753,0.0952264381884945,1633219200.0,4,0.05248037391255
450000,2018-02-27,1,2,1,0.0536585365853658,-1,34996,-33.79196,150.9468,0.3105263157894737,1519689600.0,3,0.0393349822627282
650000,2021-12-07,1,1,1,0.0447154471544715,-1,40924,-33.72933,150.99777,0.2993880048959608,1638835200.0,2,0.0331462971635361
3700000,2021-10-04,2,3,2,0.2113821138211382,-1,67236,-33.91153,151.26289,0.0833537331701346,1633305600.0,5,0.194476965834847
1311750,2021-09-21,2,2,2,0.0504065040650406,-1,47320,-33.76268,151.26932,0.1509179926560587,1632182400.0,4,0.0433454710189816
1260000,2021-07-19,2,2,1,0.0658536585365853,-1,44980,-33.75117,151.29037,0.1758873929008567,1626652800.0,4,0.0552322815141504
2225000,2016-10-28,2,3,2,0.1455284552845528,-1,65000,-33.79412,151.27428,0.1172582619339045,1477612800.0,5,0.1294265287427738
1230000,2021-11-20,2,2,1,0.0552845528455284,-1,48204,-33.8953,151.14668,0.0788249694002448,1637366400.0,4,0.0510940762785714
725000,2019-07-16,2,3,2,0.0934959349593495,-1,39260,-33.81479,151.00875,0.2342717258261933,1563235200.0,5,0.0739690108467056
1360000,2018-10-07,2,2,1,0.0764227642276422,-1,75764,-33.86465,151.17428,0.03671970624235,1538870400.0,4,0.0736674397135241
1425000,2021-06-25,2,3,1,0.1146341463414634,-1,57564,-33.8704,151.21848,0.0084455324357405,1624579200.0,5,0.1136700767113032
662500,2021-12-04,2,2,1,0.0447154471544715,-1,38272,-34.03262,151.10521,0.2527539779681762,1638576000.0,4,0.0347286514993165
3000000,2017-12-02,2,2,1,0.0747967479674796,-1,97500,-33.86055,151.20159,0.0075887392900856,1512172800.0,4,0.0742312832433009
2300000,2017-10-21,6,10,6,0.5528455284552846,-1,25272,-33.83511,150.98511,0.2542227662178702,1508544000.0,16,0.4287422242981569
627000,2019-11-18,1,1,1,0.0113821138211382,-1,48620,-33.78215,151.26601,0.125703794369645,1574035200.0,2,0.0100376132897704
410000,2017-11-05,1,2,2,0.1016260162601626,-1,43836,-33.70323,151.29673,0.2372093023255813,1509840000.0,3,0.0801652609336191
1365000,2021-12-18,2,2,1,0.0577235772357723,-1,57772,-33.86923,151.19249,0.0167686658506731,1639785600.0,4,0.0567637002774498
982500,2019-04-24,2,2,1,0.132520325203252,-1,24908,-33.9259,151.22847,0.0813953488372093,1556064000.0,4,0.1221611020927709
660000,2018-03-24,1,1,1,0.0154471544715447,-1,70304,-33.82557,151.20362,0.0505507955936352,1521849600.0,2,0.0146856968129955
1800000,2021-08-23,2,3,2,0.1219512195121951,-1,40144,-33.73041,151.26832,0.1908200734394124,1629676800.0,5,0.1007660054536098
1205000,2021-12-10,2,2,1,0.0528455284552845,-1,57772,-33.86923,151.19249,0.0167686658506731,1639094400.0,4,0.0519667678596371
475000,2017-06-15,1,2,1,0.0276422764227642,-1,26208,-33.91942,151.08774,0.1529987760097919,1497484800.0,3,0.0237206880107723
1300000,2021-08-23,1,2,1,0.0715447154471544,-1,49660,-33.73559,151.30351,0.2017135862913096,1629676800.0,3,0.0584755699195601
580000,2020-09-22,1,2,1,0.0528455284552845,-1,34684,-33.96482,151.08475,0.1922888616891065,1600732800.0,3,0.0436011810731672
1400000,2016-12-16,2,2,1,0.0707317073170731,-1,57772,-33.86923,151.19249,0.0167686658506731,1481846400.0,4,0.0695555200582836
730000,2016-03-24,2,3,1,0.0634146341463414,-1,52884,-33.89452,151.1556,0.0696450428396572,1458777600.0,5,0.0591484043935592
430000,2020-10-14,1,1,0,0.0056910569105691,-1,51532,-33.89313,151.20653,0.034516523867809,1602633600.0,2,0.0054979728732654
595000,2016-02-22,1,1,1,0.08130081300813,-1,43628,-33.62899,151.32686,0.3433292533659731,1456099200.0,2,0.0576751706708421
850000,2020-07-14,2,2,1,0.0560975609756097,-1,48932,-33.71505,151.29588,0.2221542227662178,1594684800.0,4,0.0449224698852348
780000,2019-02-27,2,2,1,0.0707317073170731,-1,69732,-33.9082,151.19191,0.0582619339045287,1551225600.0,4,0.0667284911483414
400000,2018-03-29,1,2,1,0.0382113821138211,-1,22204,-33.91825,151.07547,0.1647490820073439,1522281600.0,3,0.0324073208786142
1300000,2021-10-29,2,2,2,0.0788617886178861,-1,35412,-33.86794,151.20998,0.0001223990208078,1635465600.0,4,0.0788521366028907
2600000,2021-08-31,2,2,1,0.0536585365853658,-1,69160,-33.86528,151.22607,0.01468788249694,1630368000.0,4,0.0528761660535319
