Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,value_score
601000,2019-05-22,2,2,2,0.0845528455284552,-1,34632,-33.913,151.1171,0.119828641370869,1558483200.0,4,0.0750044982486295
1250000,2021-08-27,2,2,1,0.0723577235772357,-1,25740,-33.93108,151.21145,0.0859241126070991,1630022400.0,4,0.0664000684755881
735000,2020-04-29,1,1,1,0.0292682926829268,-1,44980,-33.75117,151.29037,0.1758873929008567,1588118400.0,2,0.0245476806729557
640000,2019-06-15,2,2,2,0.116260162601626,-1,34632,-33.913,151.1171,0.119828641370869,1560556800.0,4,0.1031311850918656
2350000,2021-12-15,2,3,2,0.1121951219512195,-1,24076,-33.88148,151.20456,0.0193390452876376,1639526400.0,5,0.1100462212244075
3615000,2021-02-27,2,3,2,0.1195121951219512,-1,35412,-33.86794,151.20998,0.0001223990208078,1614384000.0,5,0.1194975678414943
805000,2020-09-18,1,1,1,0.0235772357723577,-1,51532,-33.89313,151.20653,0.034516523867809,1600387200.0,2,0.0227773161892426
1200000,2021-12-20,2,3,2,0.1723577235772357,-1,51792,-33.83889,151.05551,0.1747858017135862,1639958400.0,5,0.1447178961464197
1036000,2021-11-11,2,3,2,0.0886178861788618,-1,42432,-33.93166,151.15389,0.1067319461444308,1636588800.0,5,0.0796467925865069
980000,2017-07-22,2,2,1,0.0609756097560975,-1,40248,-33.94543,151.24625,0.1128518971848225,1500681600.0,4,0.0544684724414036
720000,2018-08-31,2,2,1,0.0495934959349593,-1,71812,-33.90226,151.18621,0.0533659730722154,1535673600.0,4,0.0470162704559181
810000,2017-08-16,1,0,0,0.0040650406504065,-1,57564,-33.8704,151.21848,0.0084455324357405,1502841600.0,1,0.0040308537840887
2500000,2021-09-29,2,3,2,0.1154471544715447,-1,54184,-33.83992,151.28174,0.0845777233782129,1632873600.0,5,0.1060844170935557
595000,2016-02-22,1,1,1,0.08130081300813,-1,43628,-33.62899,151.32686,0.3433292533659731,1456099200.0,2,0.0576751706708421
500000,2016-07-29,2,2,1,0.048780487804878,-1,35880,-33.91492,150.95681,0.2906976744186046,1469750400.0,4,0.0364752051363532
3100000,2018-07-25,2,3,2,0.1300813008130081,-1,28080,-33.88626,151.19999,0.027172582619339,1532476800.0,5,0.1265942466063795
3200000,2019-06-18,3,3,2,0.1024390243902439,-1,35412,-33.86794,151.20998,0.0001223990208078,1560816000.0,6,0.1024264867212808
677000,2020-06-24,2,2,1,0.0528455284552845,-1,39052,-34.0332,151.07224,0.2725826193390452,1592956800.0,4,0.0402371412660726
585000,2016-11-16,1,2,1,0.0821138211382113,-1,40040,-33.80918,150.98696,0.2600979192166462,1479254400.0,3,0.0633077926520312
2020000,2021-03-26,2,2,1,0.0821138211382113,-1,66560,-33.80338,151.29117,0.1208078335373316,1616716800.0,4,0.0727696166166751
2000000,2021-09-25,2,3,2,0.1154471544715447,-1,26728,-33.91291,151.22388,0.0630354957160342,1632528000.0,5,0.1083945046381954
1350000,2021-05-21,2,2,2,0.1105691056910569,-1,47320,-33.76268,151.26932,0.1509179926560587,1621555200.0,4,0.0950803880416371
1060000,2021-11-26,2,3,2,0.0699186991869918,-1,69732,-33.9082,151.19191,0.0582619339045287,1637884800.0,5,0.0659614969972111
1260000,2021-07-19,2,2,1,0.0658536585365853,-1,44980,-33.75117,151.29037,0.1758873929008567,1626652800.0,4,0.0552322815141504
455000,2019-06-20,1,1,0,0.0048780487804878,-1,41236,-33.91228,151.15592,0.0848225214198286,1560988800.0,2,0.0044813430006066
