Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_lat,suburb_lng,km_from_cbd
525000,13/1/16,2,4,2,0.4504065040650406,House,-33.21772,151.55237,0.9576499388004897
480000,13/1/16,2,4,2,0.34796747967479674,House,-33.32678,151.44557,0.7746634026927786
452000,13/1/16,1,3,1,0.24715447154471545,House,-34.05375,150.83957,0.48739290085679315
550000,15/1/16,1,3,1,0.4764227642276423,House,-33.47252,151.40208,0.5722154222766218
535000,15/1/16,1,3,1,0.4195121951219512,House,-33.49914,151.39045,0.533782129742962
495000,15/1/16,1,3,2,0.44065040650406506,House,-34.05375,150.83957,0.48739290085679315
410000,15/1/16,1,3,3,0.36829268292682926,House,-33.25799,151.54324,0.9034271725826193
6500000,16/1/16,1,3,2,0.5707317073170731,House,-33.44017,151.31715,0.5859241126070992
890000,18/1/16,2,4,3,0.5487804878048781,House,-33.97301,151.00632,0.2694002447980416
533000,18/1/16,3,4,2,0.532520325203252,House,-33.75572,150.80361,0.480171358629131
1120500,19/1/16,2,4,2,0.7024390243902439,House,-33.77572,151.01474,0.24859241126070988
675000,19/1/16,3,3,2,0.18130081300813009,House,-33.90028,150.99309,0.24638922888616888
500000,19/1/16,1,3,1,0.6105691056910569,House,-33.47252,151.40208,0.5722154222766218
473000,19/1/16,1,3,3,0.4398373983739837,House,-34.05375,150.83957,0.48739290085679315
625000,20/1/16,2,4,2,0.4186991869918699,House,-33.32678,151.44557,0.7746634026927786
520000,20/1/16,1,3,1,0.4967479674796748,House,-34.05375,150.83957,0.48739290085679315
510000,20/1/16,1,3,1,0.7747967479674797,House,-33.67971,150.61119,0.7203182374541004
610000,21/1/16,3,5,8,0.6682926829268293,House,-33.32678,151.44557,0.7746634026927786
570000,21/1/16,1,3,2,0.640650406504065,House,-33.67971,150.61119,0.7203182374541004
555000,21/1/16,2,4,0,0.5756097560975609,House,-33.49914,151.39045,0.533782129742962
1250000,22/1/16,1,3,4,0.6991869918699187,House,-33.77572,151.01474,0.24859241126070988
540000,22/1/16,1,3,2,0.4739837398373984,House,-33.47252,151.40208,0.5722154222766218
395000,22/1/16,1,1,0,0.4894308943089431,House,-33.47252,151.40208,0.5722154222766218
272500,22/1/16,1,1,1,0.06666666666666667,Apartment,-33.33333,151.50775,0.7936352509179927
2300000,25/1/16,3,5,2,0.4195121951219512,House,-33.85608,151.10677,0.11383108935128518
940000,25/1/16,2,4,2,0.42276422764227645,House,-33.73411,150.91377,0.37625458996328026
